welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,refresh_mouse.x,refresh_mouse.y,refresh_mouse.leftButton,refresh_mouse.midButton,refresh_mouse.rightButton,refresh_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,trainInstr_mouse.time,translation_key.keys,translation_key.corr,translation_key.rt,testResp,word_rsp.text,word_mouse.x,word_mouse.y,word_mouse.leftButton,word_mouse.midButton,word_mouse.rightButton,word_mouse.time,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,3.5852,,,-0.107676969,-0.206547046,1,0,0,1.3165,0,12,12,171,1,aarzelen,images/br_aarzelen.png,images/cb_aarzelen.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,45.7351,huisdier,,0.011299476,-0.336158212,1,0,0,6.5174,0,13,13,178,1,huisdier,images/br_huisdier.png,images/cb_huisdier.png,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,6.4675,,,0.012628801,-0.336158212,1,0,0,5.4008,0,14,14,114,1,vullen,images/br_vullen.png,images/cb_vullen.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,114.1925,waarbij,,-0.031239594,-0.369391825,1,0,0,11.0169,0,15,15,136,1,waarbij,images/br_waarbij.png,images/cb_waarbij.png,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,6.6182,,,-0.031239594,-0.369391825,1,0,0,1.7838,0,16,16,69,1,waken,images/br_waken.png,images/cb_waken.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,4.3517,,,-0.031239594,-0.369391825,1,0,0,3.4001,0,17,17,121,1,twijfel,images/br_twijfel.png,images/cb_twijfel.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,6.3683,,,-0.031239594,-0.369391825,1,0,0,0.6331,0,18,18,128,1,prikken,images/br_prikken.png,images/cb_prikken.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,38.7195,,,-0.031239594,-0.369391825,1,0,0,0.6335,0,19,19,194,1,driemaal,images/br_driemaal.png,images/cb_driemaal.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,8.7187,,,-0.031239594,-0.369391825,1,0,0,0.5666,0,20,20,37,1,mijn,images/br_mijn.png,images/cb_mijn.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,5.5843,,,-0.031239594,-0.369391825,1,0,0,0.5386,0,21,21,169,1,oprotten,images/br_oprotten.png,images/cb_oprotten.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,3.3179,,,-0.031239594,-0.369391825,1,0,0,0.7839,0,22,22,129,1,verhaal,images/br_verhaal.png,images/cb_verhaal.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,1.4014,,,-0.031239594,-0.369391825,1,0,0,1.9507,0,23,23,3,1,mand,images/br_mand.png,images/cb_mand.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,6.2514,,,-0.031239594,-0.369391825,1,0,0,0.6002,0,24,24,184,1,aandelen,images/br_aandelen.png,images/cb_aandelen.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,3.0179,,,-0.031239594,-0.369391825,1,0,0,1.7331,0,25,25,0,1,slak,images/br_slak.png,images/cb_slak.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,4.3127,,,-0.031239594,-0.369391825,1,0,0,0.9884,0,26,26,126,1,kasteel,images/br_kasteel.png,images/cb_kasteel.png,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,00048,2023-10-05_20h14.31.818,vbt_B2_day2,2022.2.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,8.8363,,,-0.031239594,-0.369391825,1,0,0,25.4511,0,27,27,197,1,spanning,images/br_spanning.png,images/cb_spanning.png,0,,,,,,,,,,,,,,,,,,,,,
