welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,participant,refresh_mouse.x,refresh_mouse.y,refresh_mouse.leftButton,refresh_mouse.midButton,refresh_mouse.rightButton,refresh_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,trainInstr_mouse.time,translation_key.keys,translation_key.corr,translation_key.rt,word_rsp.text,word_mouse.x,word_mouse.y,word_mouse.leftButton,word_mouse.midButton,word_mouse.rightButton,word_mouse.time,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,testResp,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,18.6029,,0.335005645,0.290686038,1,0,0,1.6745,0,21,21,95,1,vreten,images/br_vreten.png,images/cb_vreten.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,11.3064,,0.291415917,0.289518628,1,0,0,1.154,0,22,22,81,1,dubbel,images/br_dubbel.png,images/cb_dubbel.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,4.4923,,0.789224612,0.268661321,1,0,0,1.6961,0,23,23,11,1,mode,images/br_mode.png,images/cb_mode.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,5.8081,,0.630923909,0.371166375,1,0,0,5.068,0,24,24,166,1,strikken,images/br_strikken.png,images/cb_strikken.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,7.218,,0.571651256,0.406864085,1,0,0,1.2891,0,25,25,79,1,nodig,images/br_nodig.png,images/cb_nodig.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,7.9732,,0.692855155,0.263578735,1,0,0,1.0642,0,26,26,195,1,middelen,images/br_middelen.png,images/cb_middelen.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,1.5167,,0.513767251,0.200759434,1,0,0,1.0543,0,27,27,84,1,lokken,images/br_lokken.png,images/cb_lokken.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,2.2319,,0.513767251,0.200759434,1,0,0,0.8485,0,28,28,140,1,blijven,images/br_blijven.png,images/cb_blijven.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,0.87,,0.513767251,0.200759434,1,0,0,0.6482,0,29,29,41,1,maken,images/br_maken.png,images/cb_maken.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-07-25_14h51.09.523,vbt_B2_day2,2022.2.4,Linux armv81,61.15833894,52204,,,,,,,,,,,,,,,,,,,,,,,,,,,down,0,14.5181,,0.627685936,0.166337841,1,0,0,3.0835,0,30,30,196,1,nakijken,images/br_nakijken.png,images/cb_nakijken.png,0,,,,,,,,,,,,,,,,,,,,,,
