welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,"ID",date,expName,psychopyVersion,OS,frameRate,participant,trainInstr_mouse.x,trainInstr_mouse.y,trainInstr_mouse.leftButton,trainInstr_mouse.midButton,trainInstr_mouse.rightButton,translation_key.keys,translation_key.corr,translation_key.rt,word_rsp.text,trWrd_mouse.x,trWrd_mouse.y,trWrd_mouse.leftButton,trWrd_mouse.midButton,trWrd_mouse.rightButton,train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_loop.ran,nlWrd,brWrd,cbWrd,test,testResp,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.0617,,0.207868637,0.322421258,1,0,0,0,84,84,34,1,vorm,images/br_vorm.png,images/cb_vorm.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.2009,,0.207868637,0.322421258,1,0,0,0,85,85,112,1,lukken,images/br_lukken.png,images/cb_lukken.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.3182,,0.207868637,0.322421258,1,0,0,0,86,86,9,1,hier,images/br_hier.png,images/cb_hier.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.7272,,0.207868637,0.322421258,1,0,0,0,87,87,84,1,lokken,images/br_lokken.png,images/cb_lokken.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.3287,,0.207868637,0.322421258,1,0,0,0,88,88,99,1,koffie,images/br_koffie.png,images/cb_koffie.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.5344,,0.207868637,0.322421258,1,0,0,0,89,89,70,1,ijdel,images/br_ijdel.png,images/cb_ijdel.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.7711,,0.207868637,0.322421258,1,0,0,0,90,90,116,1,besmet,images/br_besmet.png,images/cb_besmet.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,9.4873,,0.196204665,0.332385596,1,0,0,0,91,91,25,1,plek,images/br_plek.png,images/cb_plek.png,1,plek,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.0031,,0.207868637,0.322421258,1,0,0,0,92,92,32,1,palm,images/br_palm.png,images/cb_palm.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.2361,,0.207868637,0.322421258,1,0,0,0,93,93,100,1,geduld,images/br_geduld.png,images/cb_geduld.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.0425,,0.207868637,0.322421258,1,0,0,0,94,94,111,1,ticket,images/br_ticket.png,images/cb_ticket.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.4194,,0.207868637,0.322421258,1,0,0,0,95,95,122,1,waarvan,images/br_waarvan.png,images/cb_waarvan.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.1736,,0.207868637,0.322421258,1,0,0,0,96,96,126,1,kasteel,images/br_kasteel.png,images/cb_kasteel.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.6802,,0.209655114,0.309699753,1,0,0,0,97,97,148,1,smullen,images/br_smullen.png,images/cb_smullen.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.2616,,0.209655114,0.309699753,1,0,0,0,98,98,149,1,redding,images/br_redding.png,images/cb_redding.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.1319,,0.209655114,0.309699753,1,0,0,0,99,99,89,1,slapen,images/br_slapen.png,images/cb_slapen.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,1.5504,,0.209655114,0.309699753,1,0,0,0,100,100,136,1,waarbij,images/br_waarbij.png,images/cb_waarbij.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.2007,,0.209655114,0.309699753,1,0,0,0,101,101,101,1,staren,images/br_staren.png,images/cb_staren.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.1,,0.209655114,0.309699753,1,0,0,0,102,102,61,1,groen,images/br_groen.png,images/cb_groen.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.3364,,0.209655114,0.309699753,1,0,0,0,103,103,85,1,heilig,images/br_heilig.png,images/cb_heilig.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,0.2211,,0.209655114,0.309699753,1,0,0,0,104,104,198,1,bedoelen,images/br_bedoelen.png,images/cb_bedoelen.png,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,6.1242,,0.209655114,0.309699753,1,0,0,0,105,105,105,1,wijlen,images/br_wijlen.png,images/cb_wijlen.png,1,wijlen,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-27_22h07.30.935,vbt_B2_day4,2022.2.4,Linux armv81,61.03515625,52204,,,,,,down,0,2.1054,,0.209655114,0.309699753,1,0,0,0,106,106,195,1,middelen,images/br_middelen.png,images/cb_middelen.png,0,,,,,,,,,,,,,,,,,,,,,,
