subject,script,column1,column2,stimuli,session,correlation,p_value,degrees_of_freedom
sub-00045,br,score,frequency,all,4,0.12254123787435788,0.6067758822790555,18
sub-00045,br,score,old20,all,4,0.4417013145875426,0.05120186181361758,18
sub-00045,br,writingTime,length,all,4,0.30974663333198904,0.18384784848505994,18
sub-00045,br,writingTime,frequency,all,4,-0.3346005257280081,0.14930790692173937,18
sub-00045,br,writingTime,old20,all,4,-0.07325829604820547,0.758890346540378,18
sub-00046,br,score,length,all,2,,,18
sub-00046,br,score,frequency,all,2,,,18
sub-00046,br,score,old20,all,2,,,18
sub-00046,br,writingTime,length,all,2,0.5306318218131579,0.01608165090740277,18
sub-00046,br,writingTime,frequency,all,2,-0.1567317201795303,0.5093239694301348,18
sub-00046,br,writingTime,old20,all,2,0.516249248699711,0.019790833117532734,18
sub-00046,br,score,length,all,3,,,18
sub-00046,br,score,frequency,all,3,,,18
sub-00046,br,score,old20,all,3,,,18
sub-00046,br,writingTime,length,all,3,-0.1463743307042654,0.5380347954057704,18
sub-00046,br,writingTime,frequency,all,3,-0.161034686074313,0.4976160499151202,18
sub-00046,br,writingTime,old20,all,3,-0.11594321342268428,0.6264183400557815,18
sub-00046,br,score,length,all,4,-0.32444284226152514,0.16282885489702595,18
sub-00046,br,score,frequency,all,4,0.015949322652291882,0.9467897578021987,18
sub-00046,br,score,old20,all,4,-0.5144610201298258,0.02029605251452048,18
sub-00046,br,writingTime,length,all,4,0.1721984852179739,0.4678637001901219,18
sub-00046,br,writingTime,frequency,all,4,-0.3138560300664922,0.17779466942157468,18
sub-00046,br,writingTime,old20,all,4,0.3791347929488254,0.09923195989456698,18
sub-00047,cb,score,length,all,2,,,18
sub-00047,cb,score,frequency,all,2,,,18
sub-00047,cb,score,old20,all,2,,,18
sub-00047,cb,writingTime,length,all,2,0.49806818910064005,0.025421900044372447,18
sub-00047,cb,writingTime,frequency,all,2,-0.11156502477593067,0.6395883420524224,18
sub-00047,cb,writingTime,old20,all,2,0.6092672044802586,0.004350509985407409,18
sub-00047,cb,score,length,all,3,-0.16222142113076257,0.49441028491912387,18
sub-00047,cb,score,frequency,all,3,-0.9923362549794253,8.423900339648451e-18,18
sub-00047,cb,score,old20,all,3,-0.02616964075159598,0.9127927528656166,18
sub-00047,cb,writingTime,length,all,3,0.7075170997543666,0.00048426876088322014,18
sub-00047,cb,writingTime,frequency,all,3,-0.04974357517130898,0.8350226596140135,18
sub-00047,cb,writingTime,old20,all,3,0.6216787740615832,0.0034306377469156776,18
