subject,script,column1,column2,stimuli,repetition,correlation,p_value,degrees_of_freedom
sub-00026,br,checkingTime,frequency,all,3,-0.07142510282916109,0.7287944565112674,24
sub-00026,br,readingTime,frequency,all,4,0.011189221209373506,0.9567363049486689,24
sub-00026,br,checkingTime,frequency,all,4,-0.19506875693867787,0.3395990990088986,24
sub-00026,br,readingTime,frequency,all,5,0.1764689898013982,0.38848854610853345,24
sub-00026,br,checkingTime,frequency,all,5,-0.026727105106389055,0.89688106097946,24
sub-00026,br,readingTime,frequency,all,6,-0.1864852613777747,0.36168245242564084,24
sub-00026,br,checkingTime,frequency,all,6,-0.17957420615523054,0.380059783252424,24
sub-00026,br,readingTime,frequency,all,7,0.15286265194632817,0.4559612605571729,24
sub-00026,br,checkingTime,frequency,all,7,-0.08972535710643567,0.6629154788230096,24
sub-00029,br,readingTime,frequency,all,1,0.006685733985285331,0.9741416383651333,24
sub-00029,br,checkingTime,frequency,all,1,0.2036923640708027,0.3182479502678231,24
sub-00029,br,readingTime,frequency,all,2,0.1466844389034886,0.47458186354623844,24
sub-00029,br,checkingTime,frequency,all,2,-0.10525899843212566,0.6088282803276309,24
sub-00029,br,readingTime,frequency,all,3,0.1583666030851334,0.4397026854522716,24
sub-00029,br,checkingTime,frequency,all,3,0.5490967821739942,0.003671018336574853,24
sub-00029,br,readingTime,frequency,all,4,0.05531748633068212,0.7883929649203687,24
sub-00029,br,checkingTime,frequency,all,4,0.08444156247659253,0.6817126773736293,24
sub-00029,br,readingTime,frequency,all,5,0.11863079888554615,0.5638073807569072,24
sub-00029,br,checkingTime,frequency,all,5,-0.2311433566427816,0.255911189852832,24
sub-00029,br,readingTime,frequency,all,6,-0.04884384519086184,0.8126971196373225,24
sub-00029,br,checkingTime,frequency,all,6,0.26933659040187474,0.1833358212012055,24
sub-00029,br,readingTime,frequency,all,7,0.18595257292386766,0.3630800853749506,24
sub-00029,br,checkingTime,frequency,all,7,0.4291775464982044,0.02867721200140026,24
sub-00033,br,readingTime,frequency,all,1,-0.008115144808888378,0.9686155515726992,24
