subject,script,ses-1_test-accuracy,ses-1_test-reading,ses-1_test-writing,ses-1_train-reading,ses-1_train-checking,ses-2_test-accuracy,ses-2_test-reading,ses-2_test-writing,ses-2_train-accuracy,ses-2_train-reading,ses-2_train-checking,ses-2_train-writing,ses-2_ref-reading,ses-2_ref-checking,ses-3_test-accuracy,ses-3_test-reading,ses-3_test-writing,ses-3_train-accuracy,ses-3_train-reading,ses-3_train-checking,ses-3_train-writing,ses-4_test-accuracy,ses-4_test-reading,ses-4_test-writing,ses-4_train-accuracy,ses-4_train-reading,ses-4_train-checking,ses-4_train-writing
00063,br,0.0833333333333333,5.98747166666668,6.31572666666658,1.51673956043955,2.95947252747253,0.783333333333333,5.99170499999998,3.66416333333355,1,9.78563111111066,1.67765500000045,9.56838500000017,1.51098461538438,6.03648076923077,0.9,5.9936466666649,2.47278666666697,1,6.55839722222255,0.514004999999254,6.44543999999462,0.983333333333333,5.9919999999995,2.38697499999952,1,5.67209944444348,0.513036499999762,6.17499000000209
00065,br,0.166666666666667,5.99086666666667,13.7840333333333,1.52843406593406,6.04055494505495,0.65,5.99526666666666,5.12128333333335,0.95,11.4019722222222,0.958415000000002,10.57805,1.50826923076923,7.15573076923077,0.883333333333333,5.99588333333331,4.78031666666666,1,6.81682777777778,0.634579999999993,7.96170000000001,0.9,5.99458333333334,4.61635000000001,1,5.62191111111111,0.946430000000003,7.17245000000002
00066,cb,0.25,6.00077166667578,7.84811666667461,1.50679120878794,9.96358901099254,0.7,5.99796666666468,4.10509999999601,0.9,9.69871388888956,0.689835999997258,9.22641999999881,1.503023076924,2.44780769230769,0.8,5.9864800000032,3.49460499998729,1,8.3019344444447,0.738509999997615,6.64708000001906,0.866666666666667,5.99803333332336,3.01207833333215,1,6.4457683333271,0.555926000003814,6.76611000000834
00067,cb,0.283333333333333,5.98747166666191,9.86150833333731,1.51664395604554,7.959465384614,0.616666666666667,5.98855333333811,3.14184666666489,0.95,8.54424388889006,1.54583349999877,13.4605099999994,1.52056538461492,4.80877307692399,0.666666666666667,5.99871333332662,5.99691000000441,0.85,8.37624333332844,1.69668049999833,12.6595949999988,0.75,5.98804500000275,5.30336499999961,1,6.96579111111264,1.36904849999815,13.3519300000071
00068,cb,0.116666666666667,5.99972000001076,8.82571499999762,1.51699725274594,4.26776043956162,0.15,5.99505000000001,5.83955833333134,0.6,6.28320944444206,3.41623500000359,21.0719699999988,1.51368846154213,4.42888076922527,0.483333333333333,5.99299166665472,4.11669333332777,0.65,5.15060388889114,1.91675050000191,16.3293349999964,0.533333333333333,5.99251999998488,3.75695500002304,0.75,5.58386277777089,1.70420850000501,17.1063849999905
00069,cb,0.533333333333333,5.99354166666691,7.49500999999941,1.50289725274658,4.94355439560508,0.766666666666667,5.99306999999883,4.73152166666686,0.95,8.29600444444502,0.720817499999251,9.1089,1.50315000000252,2.17151923076694,0.95,5.99294499999831,4.22503166666828,0.95,7.73871111111044,0.620576000000088,8.50706000000238,0.866666666666667,5.99304333333372,3.19339999999703,0.95,6.31822611111171,0.539294499999283,6.20609500000179
00070,cb,0.0166666666666667,5.99565833333731,11.1481516666532,1.51133736263133,2.91197087912639,0.333333333333333,5.98610500001112,5.34834000000953,0.75,6.62094055555795,2.69036649999499,19.2504149999857,1.5081000000055,3.53309615384616,0.466666666666667,5.98494666666987,7.36311499999364,0.95,3.86851222222647,1.2125659999907,17.1155499999881,0.433333333333333,5.99643333333329,6.81529333331987,1,6.47000277776852,1.54013350000261,13.37375
00071,cb,0.45,5.99461666666668,13.0866666666667,1.50745604395605,5.31586263736264,0.65,5.99553333333332,5.23838333333333,0.95,9.85642222222223,0.889575000000003,8.63540000000005,1.50615384615385,2.48323076923077,0.75,5.99461666666663,4.92966666666666,1,6.57170555555556,1.320405,13.57795,0.833333333333333,5.99466666666665,3.94745000000001,0.95,6.81779444444444,1.332785,8.97830000000001
00074,br,0.416666666666667,5.99510333335404,23.8367649999897,1.51478131867765,6.79476098901492,0.466666666666667,5.99207999999521,4.13915833335322,0.95,4.44309499999285,1.02667950000166,13.3937749999881,1.51624230769964,4.39689230768497,0.616666666666667,5.9938100000143,4.29805333333811,0.95,4.00455944444338,0.82708550000429,11.6880649999619,0.566666666666667,5.99199000000047,4.09646500000011,0.85,5.06291944444416,0.928904000000398,9.46520499999968
00076,br,0.516666666666667,5.98798000000003,15.00607,1.51359615384616,4.83133241758241,0.7,5.99217000000043,2.47411999999954,0.85,7.01312444444463,1.03222250000007,8.0479100000007,1.51955769230827,3.01339230769171,0.7,5.99401166666658,2.85435500000001,0.95,4.57183722222218,1.17451300000003,10.19655,0.733333333333333,5.9712816666633,3.1756100000004,0.9,39.5051550000005,1.38818549999745,8.54677500000894
