subject,script,session,woord,tested,response,score,readingTime,checkingTime,writingTime
sub-00004,cb,2,oceaan,0,,False,9.864999999999782,0.8250999999049782,
sub-00004,cb,2,mijnheer,0,,False,16.572799999952167,0.8105000000000473,
sub-00004,cb,2,vorm,0,,False,6.840900000095644,0.9572999999522837,
sub-00004,cb,2,zingen,0,,False,12.251799999952254,0.7773000001907349,
sub-00004,cb,2,bedoelen,0,,False,10.282700000047951,0.8471999998091633,
sub-00004,cb,2,lever,0,,False,9.115099999904942,1.2037000000477749,
sub-00004,cb,2,geliefd,0,,False,4.766000000000076,0.7675999999046326,
sub-00004,cb,2,klimmen,0,,False,8.090500000000247,0.6916000001428984,
sub-00004,cb,2,kennis,0,,False,5.623299999952451,0.9067999999524544,
sub-00004,cb,2,woestijn,1,WOESTIJN,True,,1.0049000000954038,7.41800000000012
sub-00004,cb,2,mijn,0,,False,5.588800000190986,0.8765999999045562,
sub-00004,cb,2,innemen,0,,False,8.449299999952473,0.7855999999046617,
sub-00004,cb,2,akkoord,1,AKKOORD,True,,1.2680999999047344,8.65340000009519
sub-00004,cb,2,doodmoe,0,,False,9.445000000000164,0.6852000000476437,
sub-00004,cb,3,doodmoe,0,,False,8.742899999856945,0.7269999999999754,
sub-00004,cb,3,rechten,0,,False,10.011199999809264,2.2638000001907415,
sub-00004,cb,3,graaf,0,,False,14.361799999952323,0.5472999999523154,
sub-00004,cb,3,geheim,0,,False,5.675700000047698,0.6647999999522938,
sub-00004,cb,3,vullen,0,,False,4.842700000047671,0.5467000000477071,
sub-00004,cb,3,opkomen,0,,False,4.89540000009535,0.7002000000476869,
sub-00004,cb,3,goedkoop,0,,False,5.516200000047689,0.5041999998092592,
sub-00004,cb,3,mijnheer,0,,False,14.881499999999988,0.6535999999046567,
sub-00004,cb,3,ijdel,0,,False,8.181900000095368,0.5050999999046155,
sub-00004,cb,3,kasteel,0,,False,4.732700000047686,0.5193999998569439,
sub-00004,cb,3,feestdag,0,,False,9.08270000004768,0.5205999999046469,
sub-00004,cb,3,heilig,0,,False,13.298700000047688,0.4782999999523269,
sub-00004,cb,3,eenhoorn,0,,False,4.347499999999997,0.4708999998569538,
sub-00004,cb,3,traag,0,,False,3.5313999998569443,0.4019999999999868,
sub-00004,cb,3,kreeft,0,,False,4.903899999856918,0.6292000000477174,
sub-00004,cb,3,kaal,0,,False,5.090000000000032,0.5217999999522931,
sub-00004,cb,3,snuiven,1,snuiven,True,,0.6735999999046385,9.066100000143024
sub-00004,cb,3,leren,0,,False,4.8104999999999905,0.6015000000000441,
sub-00004,cb,3,baai,0,,False,3.636400000095364,0.3963999998569534,
sub-00004,cb,3,leuk,0,,False,2.9090999999046403,0.4414999999999622,
sub-00004,cb,3,bijkomen,1,bijkomen,True,,5.6577000000477256,12.405100000143022
sub-00004,cb,3,stemming,0,,False,6.21550000000002,0.5196999998092338,
sub-00004,cb,3,schep,0,,False,3.882999999999982,2.4192999999523295,
sub-00004,cb,3,tekst,0,,False,5.266099999904611,0.4433000001907317,
sub-00004,cb,3,flirt,1,flirt,True,,0.5742000000477105,7.509999999999991
sub-00004,cb,3,hiervan,0,,False,16.08099999999996,0.5236999998093097,
sub-00004,cb,3,waarvan,0,,False,5.166799999952332,0.3990000000000009,
sub-00004,cb,3,mening,0,,False,8.649700000047687,0.4824000000953674,
sub-00004,cb,3,vorm,0,,False,4.549900000095363,0.4572999999522835,
sub-00004,cb,3,leek,0,,False,3.3332999999523167,0.6365000000000123,
sub-00004,cb,3,woede,0,,False,3.3662000000476837,0.466900000095336,
sub-00004,cb,3,geit,0,,False,4.349400000095386,1.0773999998569366,
sub-00004,cb,3,joggen,1,joggen,True,,0.4494000000953519,5.715700000047718
sub-00004,cb,3,invloed,0,,False,8.46179999995229,0.3938000001907653,
sub-00004,cb,3,stiekem,0,,False,4.410500000000013,0.5466999998092206,
sub-00004,cb,3,daarheen,0,,False,9.119599999904665,4.098200000047655,
sub-00004,cb,3,wegen,0,,False,3.755500000000041,0.5904000000953715,
sub-00004,cb,3,gedicht,0,,False,8.429499999999962,0.6336999998092665,
sub-00004,cb,3,prikken,0,,False,5.83259999990463,0.4167000000476832,
sub-00004,cb,3,plek,0,,False,3.096200000047702,0.4834999999999922,
sub-00004,cb,3,apparaat,0,,False,5.782400000095379,0.4673999998569229,
sub-00004,cb,3,lukken,0,,False,3.466000000000008,0.4723999998569184,
sub-00004,cb,3,schatten,0,,False,5.662900000095362,0.5699999999999932,
sub-00004,cb,3,seizoen,0,,False,7.196400000095366,0.8690000000000282,
sub-00004,cb,3,dans,0,,False,9.015499999999976,0.4525000000000432,
