subject,script,ses-1_train,ses-1_break,ses-1_test,ses-2_refresh,ses-2_train,ses-2_break,ses-2_test,ses-3_train,ses-3_break,ses-3_test,ses-4_train,ses-4_break,ses-4_test
00113,cb,881.1215999999046,210.16160000014293,1484.418,124.35669999980924,2263.3534000000955,43.85090000009541,972.5781999998088,1443.815700000286,115.17740000009552,808.3281999998092,1358.128200000286,15.607099999904676,824.2921999998091
00114,cb,870.7950999999047,37.507199999809245,939.6434000000954,116.16390000009535,1709.376700000286,342.57439999961866,631.3789999999999,1368.4597999997138,119.42109999990453,597.2334000000956,1437.3603000001908,3.789099999904465,532.9283000001908
51175,br,931.8479000000954,593.5532999999523,936.1020999999048,184.32939999999107,3072.842299999997,467.43090000000575,749.2764000000057,1627.741400000006,2649.799099999994,670.7194000000063,1631.594099999994,517.7648000000122,708.0831999999882
52204,cb,703.1845999999047,359.38320000004774,726.8802000000476,136.4398999999762,2960.2925,46.73860000002378,1231.644099999965,1384.209100000024,19.97919999998794,1162.0624999999998,1547.161400000036,395.59829999995213,1042.612300000012
53500,br,2361.412500000001,595.4478999999992,1794.655800000001,280.7908999999985,3570.3150000000005,289.7081999999955,1598.7162000000026,2887.0689,494.3839000000007,1839.2665,2495.5345,557.6146999999992,1264.3103000000017
55009,br,1049.8577999999525,333.58449999999993,724.8815999999049,173.22320000004768,2483.7855,224.77190000009523,691.6959999999999,1959.1817999999523,239.48380000019097,571.1993999998567,1512.1442999999522,108.72109999990472,536.9114000000952
55678,br,2083.345199999988,418.81849999999986,950.370300000012,186.45489999997616,3433.9202000000178,486.18729999998186,615.9918000000116,1710.0000999999645,532.7579999999996,594.3223000000121,1294.1146000000238,441.151300000012,564.9643999999757
55756,cb,1789.6515,146.92029999999704,2276.3805,98.8325,1359.9075,72.2022999999997,1352.9241,1647.977,117.900900000006,1025.2379999999998,1556.0455999999942,98.9831000000238,981.7810999999942
55879,br,871.6019999999999,20.37900000000002,871.7470000000001,115.571,1524.172,537.296,500.1840000000002,1366.037,387.8140000000001,540.9870000000001,1189.74,55.89300000000003,461.6089999999999
55888,br,893.1685,452.6953999999763,659.2505000000001,108.2342000000477,1799.0392000000477,441.9874999999999,592.2180999999046,1537.4605,498.62469999992845,592.5735,1452.4609000000955,440.1097999999522,535.7163999999764
55891,br,911.4706999999884,362.08399999999983,1371.5854000000058,103.23010000002384,2041.211,343.0585999999644,916.7674000000357,1547.3534000000357,435.0258999999762,629.9878000000115,1477.8383000000122,491.4216999999881,635.6016999999879
55918,br,1994.457,589.366,1579.927,126.758,2719.1629999999996,487.2540000000003,783.6889999999994,2890.318,442.732,646.2129999999997,2705.932,607.192,587.3250000000003
55978,cb,1455.2745,328.49779999995235,734.2557000000477,108.65389999997616,1739.1207999999524,551.5102000000472,626.6975000000002,1519.8747000000476,349.14650000000006,601.1958999999763,1580.5746000000238,483.49480000007134,654.201
55987,cb,1093.7366000000238,177.404,864.5565000000001,187.305,2654.933100000024,565.0837999999526,740.6427000000476,2131.5581000000234,396.14259999990463,673.3895000000002,1132.4028999999764,4.290600000023687,584.3317999999524
