welcome_mouse.x,welcome_mouse.y,welcome_mouse.leftButton,welcome_mouse.midButton,welcome_mouse.rightButton,welcome_mouse.time,"ID",date,expName,psychopyVersion,OS,frameRate,participant,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,train_mouse.x,train_mouse.y,train_mouse.leftButton,train_mouse.midButton,train_mouse.rightButton,train_mouse.time,braille_mouse.x,braille_mouse.y,braille_mouse.leftButton,braille_mouse.midButton,braille_mouse.rightButton,braille_mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,nlLet,brLet,cbLet,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,testInstr_mouse.x,testInstr_mouse.y,testInstr_mouse.leftButton,testInstr_mouse.midButton,testInstr_mouse.rightButton,test_mouse.x,test_mouse.y,test_mouse.leftButton,test_mouse.midButton,test_mouse.rightButton,test_response.text,testResp,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,nlWrd,brWrd,cbWrd
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,1.8995,5,20,150,25,1,z,images/br_z.png,images/cb_z.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,0.5336,5,21,151,0,1,a,images/br_a.png,images/cb_a.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,1.7344,5,22,152,17,1,r,images/br_r.png,images/cb_r.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,0.001851852,-0.216666667,1,0,0,0.0994,5,23,153,9,1,j,images/br_j.png,images/cb_j.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.000925926,-0.216666667,1,0,0,0.7506,5,24,154,8,1,i,images/br_i.png,images/cb_i.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.000925926,-0.216666667,1,0,0,0.6835,5,25,155,1,1,b,images/br_b.png,images/cb_b.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.000925926,-0.216666667,1,0,0,1.4,6,0,156,1,1,b,images/br_b.png,images/cb_b.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.000925926,-0.216666667,1,0,0,2.2664,6,1,157,7,1,h,images/br_h.png,images/cb_h.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.000925926,-0.216666667,1,0,0,20.7155,6,2,158,24,1,y,images/br_y.png,images/cb_y.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.000925926,-0.216666667,1,0,0,1.9844,6,3,159,23,1,x,images/br_x.png,images/cb_x.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.000925926,-0.216666667,1,0,0,1.6837,6,4,160,4,1,e,images/br_e.png,images/cb_e.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.000925926,-0.216666667,1,0,0,1.2003,6,5,161,15,1,p,images/br_p.png,images/cb_p.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.000925926,-0.216666667,1,0,0,0.2828,6,6,162,14,1,o,images/br_o.png,images/cb_o.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.000925926,-0.216666667,1,0,0,2.3161,6,7,163,12,1,m,images/br_m.png,images/cb_m.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.000925926,-0.216666667,1,0,0,0.4663,6,8,164,18,1,s,images/br_s.png,images/cb_s.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.000925926,-0.216666667,1,0,0,1.016,6,9,165,17,1,r,images/br_r.png,images/cb_r.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.000925926,-0.216666667,1,0,0,1.0176,6,10,166,2,1,c,images/br_c.png,images/cb_c.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.005555556,-0.234259259,1,0,0,0.6669,6,11,167,13,1,n,images/br_n.png,images/cb_n.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.005555556,-0.234259259,1,0,0,0.0675,6,12,168,21,1,v,images/br_v.png,images/cb_v.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.005555556,-0.234259259,1,0,0,0.6999,6,13,169,0,1,a,images/br_a.png,images/cb_a.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.005555556,-0.234259259,1,0,0,1.2833,6,14,170,6,1,g,images/br_g.png,images/cb_g.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.003703704,-0.234259259,1,0,0,2.95,6,15,171,10,1,k,images/br_k.png,images/cb_k.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.003703704,-0.234259259,1,0,0,1.1998,6,16,172,8,1,i,images/br_i.png,images/cb_i.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.003703704,-0.234259259,1,0,0,0.5833,6,17,173,25,1,z,images/br_z.png,images/cb_z.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.021296296,-0.155555556,1,0,0,4.7503,6,18,174,11,1,l,images/br_l.png,images/cb_l.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.021296296,-0.155555556,1,0,0,2.6166,6,19,175,20,1,u,images/br_u.png,images/cb_u.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2023-09-25_23h01.47.151,vbt_B2_day1,2022.2.4,Win32,60.12867537,55978,,,,,,,,,,,,,,,,,,,-0.010185185,-0.208333333,1,0,0,1.1004,6,20,176,9,1,j,images/br_j.png,images/cb_j.png,,,,,,,,,,,,,,,,,,,,,,,,,
